Title,Start,End,Mark,URL
Seminar by Dr. Sriharitha Rowthu,11-11-2022 11.00 AM,11-11-2022 11.55 AM,Important,https://materials.iisc.ac.in/seminar/sriharitha-11-nov-2022
PhD Defence by Mr. Kompella Sai Jyotheender,11-24-2022  02.30 PM,11-24-2022  03.30 PM,Info,https://materials.iisc.ac.in/defence/sai-24-nov-2022
PhD Colloquium by Mr. Jagadeshvaran P L,12-20-2022  02.30 PM,12-20-2022  03.30 PM,Info,https://materials.iisc.ac.in/colloquium/jagadeshvaran-20-dec-2022
Seminar by Dr. S. Elangovan,12-02-2022 11.00 AM,12-02-2022 11.55 AM,Important,https://materials.iisc.ac.in/seminar/elangovan-02-dec-2022
Seminar by Dr. Shankha Nag,12-16-2022 03.30 PM,12-16-2022 04.30 PM,Important,https://materials.iisc.ac.in/seminar/shankha-16-dec-2022
Seminar by Dr Daniel B. Miracle,12-06-2022 11.30 AM,12-06-2022 12.30 PM,Important,https://materials.iisc.ac.in/seminar/miracle-06-dec-2022
Seminar by Prof. Tresa Pollock,12-05-2022 03.30 PM,12-05-2022 04.30 PM,Important,https://materials.iisc.ac.in/seminar/tresa-05-dec-2022
Seminar by Mr Anubhav Roy,12-20-2022 11.00 AM,12-20-2022 11.55 AM,Important,https://materials.iisc.ac.in/seminar/anubhav-20-dec-2022
Seminar by Prof. Raman Singh,01-12-2023 03.30 PM,01-12-2023 04.30 PM,Important,https://materials.iisc.ac.in/seminar/ramansingh-12-jan-2023
Seminar by Prof. Raman Singh,01-19-2023 03.30 PM,01-19-2023 04.30 PM,Important,https://materials.iisc.ac.in/seminar/ramansingh-19-jan-2023
Seminar by Prof. Raman Singh,01-24-2023 03.30 PM,01-24-2023 04.30 PM,Important,https://materials.iisc.ac.in/seminar/ramansingh-24-jan-2023
PhD Colloquium by Mr. Raja Jothi Vikram,02-02-2023  04.00 PM,02-02-2023  05.00 PM,Info,https://materials.iisc.ac.in/colloquium/raja-02-feb-2023
